x1,px1,,x2,px2,,x3,px3,,x4,px4,,x5,px5
0,1,,0,1,,0,1,,0,1,,0,1
874.79737,1.19385,,2327.71835,1.18879,,2146.88269,1.10532,,3690.2215,1.13883,,3459.50014,1.08951
1763.38638,1.3608,,3933.41428,1.314,,6016.14221,1.29819,,5966.25651,1.23559,,6003.67079,1.1597
2895.16818,1.49865,,4949.8354,1.40253,,,,,,,,,
