nickname,nickname_kor,top,top length,fastening,sleeve length,collar,neckline,fit,detail,style,gender,pattern,hood,material,sub clothes type,tpo,detail
cropped top (t-shirt),크롭탑,top,cropped,,,,,,,,,,,,,,
camisole,캐미솔,top,cropped,,,,spaghetti strap,tight,,,,,,,,,
camisole,캐미솔,top,cropped,,,,spaghetti strap,slim,,,,,,,,,
camisole,캐미솔,top,above the hip,,,,spaghetti strap,tight,,,,,,,,,
camisole,캐미솔,top,above the hip,,,,spaghetti strap,slim,,,,,,,,,
camisole,캐미솔,top,hip,,,,spaghetti strap,tight,,,,,,,,,
camisole,캐미솔,top,hip,,,,spaghetti strap,slim,,,,,,,,,
shirred top,셔링 탑,top,,,,,,,shiring,,,,,,,,
wrap top,랩 탑,top,,wrap&knot,,,,,,,,,,,,,
plain t-shirt,무지 티셔츠,t-shirt,cropped,,,,,,,,,plain,,,,,
plain t-shirt,무지 티셔츠,t-shirt,above the hip,,,,,,,,,plain,,,,,
plain t-shirt,무지 티셔츠,t-shirt,hip,,,,,,,,,plain,,,,,
t-shirt dress,티셔츠 원피스,t-shirt,knee,,,,,,,,,,,,,,
t-shirt dress,티셔츠 원피스,t-shirt,under the knee,,,,,,,,,,,,,,
off-shoulder t-shirt,오프숄더 티,t-shirt,cropped - hip,,,,off shoulder,,,,,,,,,,
boatneck t-shirt,보트넥 티셔츠,t-shirt,cropped - hip,,,,boatneck,,,,,,,,,,
v-neck t-shirt,브이넥 티셔츠,t-shirt,cropped - hip,,,,v-neck,,,,,,,,,,
sweatshirt,스웻셔츠 / 맨투맨,t-shirt,,,long,,,,,,,,,,sweatshirt,,
hoodie,후드티,t-shirt,,,,,,,,,,,hooded,,sweatshirt,,
sweaters,스웨터,t-shirt,,,long,,,,,,,,,knit,,,
sweaters,스웨터,t-shirt,,,long,,,,,,,,,ribbed,,,
turtle neck sweater,하이넥 스웨터,t-shirt,,,long,,high-neck,,,,,,,knit,,,
turtle neck sweater,하이넥 스웨터,t-shirt,,,long,,high-neck,,,,,,,ribbed,,,
v-neck sweater,브이넥 스웨터,t-shirt,,,long,,v-neck,,,,,,,knit,,,
v-neck sweater,브이넥 스웨터,t-shirt,,,long,,v-neck,,,,,,,ribbed,,,
graphic t-shirt,그래픽 티셔츠,t-shirt,,,,,,,,,,text,,,,,
graphic t-shirt,그래픽 티셔츠,t-shirt,,,,,,,,,,picture,,,,,
polo shirt,폴로 셔츠,t-shirt,,,,polo,,,,,,,,,,,
,럭비 셔츠,t-shirt,,,,polo,,,,,,,,,,,
dress shirt,포멀 셔츠,shirt,,,,regular collar,,,,,,,,,,formal,
check shirt,체크 셔츠,shirt,,,,,,,,,,check,,,,,
henley shirt,핸리 셔츠,shirt,,,,stand collar,,,,,,,,,,,
denim shirt,데님 셔츠,shirt,,,,,,,,,,,,denim,,,
oversized collar shirt,오버사이즈 칼라 셔츠,shirt,,,,oversized collar,,,,,,,,,,,
homewear shirt,홈웨어 셔츠,shirt,,,,,,,,,,,,,,home & lounge,
 blouse,홈웨어 블라우스,blouse,,,,,,,,,,,,,,home & lounge,
 blouse,블라우스,blouse,,,,,,,,,,,,,,,
cropped blouse,크롭 블라우스,blouse,cropped,,,,,,,,,,,,,,
wrap blouse,랩 블라우스,blouse,,wrap&knot,,,,,,,,,,,,,
shirred blouse,셔링 블라우스,blouse,,,,,,,,,,,,,,,shirring
puffer vest,조끼 패딩,vest,,,,,,,,,,,,padded,,,
knitted vest,니트 베스트,vest,,,,,,,,,,,,ribbed,,,
knitted vest,니트 베스트,vest,,,,,,,,,,,,knit,,,
fur vest,퍼 베스트,vest,,,,,,,,,,,,fur,,,
hooded vest,후드 베스트,vest,,,,,,,,,,,hooded,,,,
waistcoat,정장 조끼,vest,,button,,,,,,,,,,,,formal,
western vest,스웨이드 베스트,vest,,,,,v neck,,,,,,,suede,,,
denim vest,데님 베스트,vest,,,,,,,,,,,,denim,,,
