nickname,nickname_kor,dress,top length,skirt line,material,fit,pattern,detail,pocket,tpo,gender,sleevelength,collar,neckline,fastening,hood
shirt dress,셔츠 원피스,dress,,,,,,,,,,,regular collar,,button,
shirred dress,셔링 원피스,dress,,,,,,shirring,,,,,,,,
tiered dress,티어드 원피스,dress,,tierd,,,,,,,,,,,,
fit & flare dresses,핏앤플레어 원피스,dress,,fit&flare,,,,,,,,,,,,
knitted dresses,니트 원피스,dress,,,knit,,,,,,,,,,,
knitted dresses,니트 원피스,dress,,,ribbed,,,,,,,,,,,
bodycon dress,바디콘,dress,,,,tight,,,,party,,,,,,
slip dress,슬립 원피스,dress,,,,,,,,home&lounge,,,,spaghetti strap,,
wrap dresses,랩 원피스,dress,,wrap,,,,,,,,,,,,
blazer dresses,블레이저 원피스,dress,,,,,,,,,,,notched collar,,double breasted,
hoodie dress,후드 원피스,dress,,,,,,,,,,,,,,hooded
chemise dress,슈미즈 원피스,dress,,,,,,,,home&lounge,,,,,,
polo dress,폴로 원피스,dress,,,,,,,,,,,polo,,,
denim dress,데님 원피스,dress,,,denim,,,,,,,,,,,
tunic,튜닉,dress,,A line ,,loose,,,,,,,,,,
tunic,튜닉,dress,,A line ,,oversized,,,,,,,,,,
kaftan,카프탄,dress,,A line ,,oversized,,,,,,,,v neck,,
cheongsams,치파오,dress,,"H line,pencil",,"tight,slim,regular",,slit,,,,,stand collar,,,
blouse dress,블라우스 드레스,dress,,,,,,,,,,,,,"button, string",
